"","chlorides","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensenall","Beta.sorensen.turn","Beta.sorensen.nest","TaxaS","Dominance_D","Simpson_1.D","Shannon_H"
"BW11 BW21",-1.25472992,-1.360608382,-1.339507191,0.196064501,-1.043628437,-1.34417155,-1.115236265,-0.613602739,-0.793943975,-1.290764377,-0.733872433,-0.735886361,-1.218513222,-0.597477145,-0.597465327,-0.539238103
"BW11 BW31",-1.255558665,-1.361905627,-1.341226188,-0.079697042,-1.02178201,-1.324228258,-1.311154169,-0.828388128,-0.737755842,-1.462570794,-0.837706824,-0.825724093,-0.936162582,-0.977326735,-0.977314776,-0.945998843
"BW21 BW31",-1.254709201,-1.36044983,-1.33985099,-0.838041283,-1.059406411,-1.32290712,-1.885668871,-1.268007826,-0.92086278,-1.969138473,-1.668381949,-0.399062041,-1.077337902,-0.725997683,-0.725985817,-0.812877146
"BW11 BW41",-1.254025486,-1.358965204,-1.336756794,-0.769100898,-1.014499869,-1.332744128,-1.641647434,-2.026771406,0.885999268,-1.373338005,-1.819413788,0.586353523,0.899116576,0.376422933,0.37643439,0.603389792
"BW21 BW41",-1.253176021,-1.360421002,-1.334693997,-0.148637427,-0.976875468,-1.33142299,-1.729770471,-1.979649051,0.648418896,-1.373338005,-2.196993395,1.08416708,0.757941256,-0.131947195,-0.13193555,-0.07700999
"BW31 BW41",-1.254046205,-1.358806653,-1.336412995,-0.42439897,-0.955029042,-1.336976818,-1.678732247,-1.887462126,0.567518345,-1.905302713,-2.196993395,0.382122314,0.475590616,0.247902395,0.247913899,0.329750749
"BW11 O11",0.228020041,1.811041148,0.494319799,0.816527971,1.382538553,0.757775686,-1.525317541,-1.078820135,-0.64772553,-0.738468641,-0.178895516,-0.738710429,-1.077337902,-0.732280909,-0.732269041,-1.1623216
"BW21 O11",0.227170577,1.812496945,0.496382596,2.126395298,1.420162953,0.759096824,-0.521049933,-0.014121051,-0.86939112,-1.027560942,-0.751774911,-0.36492815,-1.218513222,-0.223910781,-0.223899101,-0.481921817
"BW31 O11",0.228040759,1.810882595,0.494663598,1.850633755,1.442009379,0.736511256,-0.920119876,-0.369550923,-0.905030947,-1.185797905,-0.465335217,-0.951408386,-1.218513222,-0.603760371,-0.603748551,-0.888682557
"BW41 O11",0.229573939,1.814140123,0.489506605,1.161229899,1.315785583,0.745027126,-0.257789469,-0.301788214,0.108995403,-0.397026303,-0.309095377,-0.116442094,0.616765936,0.749989297,0.750000615,0.660706079
"BW11 O21",0.212812561,1.829144927,0.357831363,0.05818373,1.076688587,0.750572539,-2.277351988,-1.669560498,-0.859463013,-1.786206131,-1.253044386,-0.705237386,-1.077337902,-1.090996011,-1.09098401,-0.955243405
"BW21 O21",0.211963097,1.830600724,0.359894161,1.368051057,1.114312987,0.751893677,-0.862673107,-0.322219785,-0.892889772,-1.294303245,-0.481703197,-1.073025022,-0.936162582,-0.582625883,-0.58261407,-0.803632584
"BW31 O21",0.21283328,1.828986374,0.358175164,1.092289514,1.136159414,0.729308109,-1.067674092,-0.541900625,-0.843354599,-1.203109294,-0.837706824,-0.483307416,-0.653811942,-0.962475473,-0.962463519,-1.210393324
"BW41 O21",0.21436646,1.832243902,0.353018169,0.402885658,1.009935618,0.737823979,-0.846641988,-1.072775018,0.507251085,-0.790976636,-1.44183419,0.857094231,1.181467216,0.391274195,0.391285646,0.338995312
"O11 O21",-1.240371904,-1.3439604,-1.205081553,-0.355458584,-0.775402871,-1.338289541,-2.748877612,-2.197352089,-0.704377819,-1.805559329,-1.611094007,-0.258713617,-0.794987262,-0.747132171,-0.747120298,-0.897927119
"BW11 O31",0.23183227,1.840675997,0.531106354,-0.286518198,1.497839135,0.722466803,-1.057321694,-1.066967842,0.13466244,-1.065980618,-1.44183419,0.49416582,0.899116576,-1.044157415,-1.044145431,-0.396871844
"BW21 O31",0.230982806,1.842131794,0.533169152,1.023349129,1.535463535,0.723787941,-0.603199705,-0.48007289,-0.158410748,-0.499795956,-1.064254583,0.743557806,0.757941256,-0.535787287,-0.535775491,-1.077271627
"BW31 O31",0.231852988,1.840517444,0.531450155,0.747587586,1.557309961,0.701202373,-0.126427936,0.03756146,-0.285907223,0.328949062,0.446063828,-0.153984599,0.475590616,-0.915636877,-0.915624941,-0.670510887
"BW41 O31",0.233386168,1.843774971,0.52629316,0.05818373,1.431086166,0.709718242,-0.00463913,0.333555559,-0.617969068,-0.367441095,0.446063828,-1.073025022,-1.359688541,0.438112792,0.438124225,-0.219376249
"O11 O31",-1.251767154,-1.33242933,-1.304783433,-0.010756656,-0.965952255,-1.310183805,-1.227605954,-1.049433971,-0.189968271,-0.722463534,-0.686674984,-0.048114744,0.616765936,-0.793970768,-0.793958876,-0.339555558
"O21 O31",-1.236559675,-1.35053311,-1.168294998,-0.769100898,-0.660102289,-1.317386952,-1.578675901,-1.550571106,0.123326639,-1.664518686,-2.574572994,1.197703505,1.181467216,-1.059008677,-1.058996688,-0.661266325
"BW11 O41",0.211382975,1.83246011,0.438280467,-1.04486244,1.418949263,0.720144292,0.213013884,-0.272567983,0.864444866,0.839635187,-0.773808734,2.128299111,1.887343815,-1.043586213,-1.043574229,-0.101045852
"BW21 O41",0.210533511,1.833915907,0.440343264,0.265004886,1.456573663,0.72146543,0.864800141,0.600903561,0.386893903,1.738655542,0.504152998,1.629847332,1.746168495,-0.659738206,-0.659726364,-0.781445635
"BW31 O41",0.211403694,1.832301557,0.438624266,-0.010756656,1.478420089,0.698879863,0.455511899,0.146720941,0.514294705,1.457209103,0.504152998,1.258416667,1.463817855,-1.039587796,-1.039575813,-0.374684895
"BW41 O41",0.212936873,1.835559084,0.433467272,-0.700160512,1.352196294,0.707395733,0.284832238,0.572834638,-0.558216578,0.839635187,0.504152998,0.443391669,-0.371461303,0.314161873,0.314173352,-0.515202241
"O11 O41",-1.238942318,-1.340645218,-1.285530656,0.747587586,-1.044842127,-1.307861295,0.135881538,-0.182875896,0.567897079,0.207357134,-1.412789601,2.136322483,1.604993175,-0.670019849,-0.670008003,-0.043729566
"O21 O41",-1.254149797,-1.358748997,-1.261120885,-0.010756656,-0.738992161,-1.315064442,0.021533742,-0.442033515,0.845377625,0.355547304,-2.051770467,3.174345819,2.169694454,-1.028734951,-1.028722972,-0.365440333
"O31 O41",-1.235130089,-1.353848292,-1.2487441,-0.355458584,-1.002362965,-1.343170178,-1.073320894,-1.061943805,0.097986406,-0.582990431,-1.412789601,1.093284546,-0.371461303,-0.981896355,-0.981884393,-0.923811894
"BW11 K11",-0.925593656,-0.525499491,-1.120850654,0.127124115,1.374042719,-0.415234891,-0.676666362,-0.114502492,-0.953180305,-1.19487242,-0.560815118,-0.83750033,-0.512636622,-0.520364822,-0.520353032,-0.960790143
"BW21 K11",-0.92644312,-0.524043694,-1.118787857,1.436991442,1.411667121,-0.413913753,0.686994518,1.105576939,-0.841528606,-0.181737054,0.269860007,-0.595634576,-0.653811942,-0.011994693,-0.011983093,-0.28039036
"BW31 K11",-0.925572937,-0.525658044,-1.120506855,1.161229899,1.433513546,-0.436499321,-0.000238006,0.424708696,-0.777106219,-0.820094705,-0.007031698,-1.073025022,-0.936162582,-0.391844284,-0.391832542,-0.6871511
"BW41 K11",-0.924039758,-0.522400517,-1.125663849,0.471826043,1.307289751,-0.427983451,0.389941993,0.232689235,0.244422334,-0.309408581,-0.309095377,-0.000811195,0.052064657,0.961905385,0.961916624,0.862237536
"O11 K11",-0.101965687,0.974476459,0.273600465,-0.42439897,-1.072757005,-0.172482112,-1.145457666,-0.722811403,-0.646149089,-0.341867445,0.393983879,-0.970611006,-0.794987262,-0.893931186,-0.893919258,-1.018106429
"O21 K11",-0.117173166,0.992580239,0.137112029,-1.04486244,-0.783898704,-0.179685258,-1.474336178,-0.920440905,-0.849774723,-1.203109294,-0.837706824,-0.483307416,-0.230285983,-0.535216084,-0.535204289,-0.696395662
"O31 K11",-0.098153458,1.004111309,0.310387021,-0.700160512,-0.957456423,-0.207790995,-0.390210257,-0.374169838,0.01385317,-0.309408581,-0.309095377,-0.000811195,0.052064657,-0.58205468,-0.582042868,-0.138024101
"O41 K11",-0.118602753,0.995895421,0.217561133,0.05818373,-1.036346295,-0.210113505,0.698434182,0.298252984,0.654540998,0.299258013,-1.412789601,2.257605963,1.040291896,-0.458103761,-0.458091995,0.157801891
"BW11 K21",-0.927686238,-0.536410766,-1.120163055,-0.217577812,1.636199834,-0.438207544,-1.263933406,-0.985123405,-0.369992099,-1.185797905,-0.868472571,-0.41989863,0.193239977,-1.044157415,-1.044145431,-0.631683726
"BW21 K21",-0.928535702,-0.534954969,-1.118100258,1.092289514,1.673824234,-0.436886406,-0.673417198,-0.296051171,-0.615585955,-0.659475681,-0.560815118,-0.130926243,0.052064657,-0.659167003,-0.659155162,-1.127192263
"BW31 K21",-0.927665519,-0.536569319,-1.119819256,0.816527971,1.69567066,-0.459471973,-0.436879758,-0.040639364,-0.676282328,-0.499795956,0.054499789,-0.731445344,-0.230285983,-1.039016594,-1.039004611,-0.905322769
"BW41 K21",-0.926132341,-0.533311791,-1.12497625,0.127124115,1.569446865,-0.450956103,-0.343866488,-0.243236094,-0.145972193,-0.24427005,0.068484221,-0.412660093,-0.653811942,0.314733075,0.314744554,0.015435632
"O11 K21",-0.099873105,0.985387734,0.272912866,-0.079697042,-0.827591556,-0.149509459,-1.293150117,-0.833454767,-0.697557348,-1.175751112,-0.560815118,-0.812265535,-0.089110663,-0.670591051,-0.670579206,-0.57436744
"O21 K21",-0.115080585,1.003491514,0.13642443,-0.838041283,-0.52174159,-0.156712607,-1.972575726,-1.629078746,-0.409859312,-1.462570794,-1.483787478,0.026090226,0.475590616,-1.029306153,-1.029294174,-0.896078207
"O31 K21",-0.096060876,1.015022584,0.309699421,-1.04486244,-0.942892138,-0.184818343,-0.826911711,-0.488173097,-0.527956646,-0.921710821,-0.686674984,-0.311065487,-0.653811942,-0.982467557,-0.982455596,-0.984826004
"O41 K21",-0.11651017,1.006806696,0.216873533,-0.286518198,-0.864002266,-0.187140852,0.405576919,0.270057838,0.202945845,0.839635187,-0.134827868,1.28584539,0.334415297,-1.105276071,-1.105264064,-0.689000012
"K11 K21",-1.253486801,-1.351152905,-1.34088239,-0.769100898,-0.819095724,-1.322520035,-2.172222838,-1.911281004,-0.236787939,-1.955699366,-1.483787478,-0.624701692,-0.653811942,-0.458674964,-0.458663197,-0.372835983
"BW11 K31",-0.922050768,-0.533153239,-1.085783097,-0.148637427,1.648336736,-0.449735944,-1.27846261,-0.679536351,-0.953805147,-1.096716351,-0.659705015,-0.577582004,-1.218513222,-0.578056264,-0.578044452,-0.772201072
"BW21 K31",-0.922900233,-0.531697442,-1.0837203,1.161229899,1.685961138,-0.448414806,-0.284002759,0.174029147,-0.806205285,-0.582990431,-0.363035325,-0.290746573,-1.077337902,-0.069686135,-0.069674513,-0.09180129
"BW31 K31",-0.92203005,-0.533311791,-1.085439297,0.885468357,1.707807563,-0.471000374,-0.836542793,-0.381438004,-0.739698433,-0.419470249,0.230304055,-0.857224075,-0.794987262,-0.449535725,-0.449523962,-0.498562029
"BW41 K31",-0.92049687,-0.530054264,-1.090596291,0.196064501,1.581583768,-0.462484504,-0.258215623,-0.492081188,0.45626654,-0.488148727,-0.309095377,-0.236698242,1.040291896,0.904213943,0.904225203,1.050826606
"O11 K31",-0.105508574,0.982130207,0.238532907,-0.148637427,-0.815454653,-0.137981058,-1.58637752,-1.150245618,-0.622011369,-0.790976636,-0.066365635,-0.956369464,-0.936162582,-0.951622628,-0.951610678,-0.829517358
"O21 K31",-0.120716054,1.000233987,0.102044472,-0.906981668,-0.509604687,-0.145184205,-2.375083069,-1.775536593,-0.833568085,-1.90023638,-1.846383758,-0.073447,-1.218513222,-0.592907526,-0.592895709,-0.507806592
"O31 K31",-0.101696345,1.011765056,0.275319463,-0.975922055,-0.930755235,-0.173289941,-1.391089456,-1.433811081,0.232090721,-0.820094705,-0.686674984,-0.176960609,1.040291896,-0.639746122,-0.639734288,0.050564969
"O41 K31",-0.122145639,1.003549169,0.182493574,-0.217577812,-0.851865362,-0.175612452,-0.45453167,-1.088473946,1.209645232,0.515785454,-0.773808734,1.700907958,2.028519135,-0.515795203,-0.515783415,0.346390962
"K11 K31",-1.252036497,-1.354410433,-1.306502431,-0.838041283,-0.80695882,-1.310991635,-2.102944603,-1.445409328,-0.969736269,-2.42259253,-1.846383758,-0.762811154,-0.371461303,-1.048155832,-1.048143846,-1.031048816
"K21 K31",-1.249943915,-1.358806653,-1.30719003,-1.04486244,-1.069115933,-1.333964288,-2.363986454,-2.101461294,-0.218459539,-2.781593665,-2.099102385,-0.903399666,0.334415297,-0.516366405,-0.516354617,-0.184246912
"BW11 K41",-0.909163776,-0.497997891,-0.864376163,-0.493339355,1.735722442,-0.443963329,-1.238089736,-1.01407345,-0.272646955,-0.879370772,-0.906929748,0.035202786,0.193239977,-0.888790365,-0.888778438,-0.818423884
"BW21 K41",-0.91001324,-0.496542094,-0.862313366,0.816527971,1.773346842,-0.442642191,-0.182472774,0.143308987,-0.575586398,-0.341867445,-0.560815118,0.288227878,0.052064657,-0.380420236,-0.380408498,-0.940452106
"BW31 K41",-0.909143058,-0.498156443,-0.864032364,0.540766429,1.795193267,-0.465227759,-0.356872671,-0.00605986,-0.602060421,-0.451265844,-0.21470048,-0.31247653,-0.230285983,-0.760269827,-0.760257948,-1.092062927
"BW41 K41",-0.907609879,-0.494898916,-0.869189358,-0.148637427,1.668969472,-0.456711889,-0.597200845,-0.456398652,-0.191399003,-0.892256873,-0.309095377,-0.770008074,-0.653811942,0.593479842,0.593491218,0.20217579
"O11 K41",-0.118395567,0.946974859,0.017125974,0.196064501,-0.728068948,-0.143753673,-1.790608664,-1.37154418,-0.56819508,-1.47772353,-1.253044386,-0.298126553,-0.089110663,-0.949337818,-0.949325869,-0.761107598
"O21 K41",-0.133603046,0.965078638,-0.119362462,-0.56227974,-0.422218982,-0.15095682,-1.730896934,-1.448378077,-0.325092376,-0.904487755,-1.253044386,0.458384489,0.475590616,-0.903641627,-0.903629695,-1.082818364
"O31 K41",-0.114583338,0.976609707,0.053912529,-0.906981668,-0.84336953,-0.179062556,-1.855763529,-1.44740951,-0.541396851,-1.613878567,-1.064254583,-0.72671994,-0.653811942,-0.950480223,-0.950468273,-0.798085847
"O41 K41",-0.135032631,0.96839382,-0.038913358,-0.56227974,-0.764479658,-0.181385067,-1.225575332,-1.484755151,0.609625687,-1.672388436,-3.329732199,2.182944758,0.334415297,-0.826529304,-0.826517401,-0.502259854
"K11 K41",-1.239149505,-1.334562578,-1.085095498,-0.493339355,-0.719573116,-1.31676425,-1.869505384,-1.668981596,-0.159800867,-1.373338005,-1.253044386,-0.160366829,-0.653811942,-0.737421731,-0.737409861,-0.55957614
"K21 K41",-1.237056922,-1.323651304,-1.085783097,-0.838041283,-0.981730229,-1.339736903,-1.788086209,-1.201064577,-0.875630337,-1.047900766,-0.560815118,-0.643538815,-1.359688541,-0.827100506,-0.827088603,-1.032897728
"K31 K41",-1.242692391,-1.326908832,-1.120163055,-0.769100898,-0.993867133,-1.339720073,-2.2291006,-2.031442329,-0.114761351,-1.266945062,-0.906929748,-0.476286976,0.334415297,-0.795113172,-0.795101281,-0.37098707
"BW11 WS1",1.58585734,0.939681457,-0.022410979,0.127124115,-0.565434443,0.223909749,-0.19740167,-0.022304442,-0.298365765,-0.538253781,-0.956374696,0.550571765,0.475590616,-0.71800085,-0.717988986,-0.955243405
"BW21 WS1",1.585007876,0.941137255,-0.02034818,1.436991442,-0.527810042,0.225230887,-0.199038594,0.067966495,-0.466263536,-0.582990431,-1.351934283,1.013050851,0.334415297,-0.209630721,-0.209619047,-0.803632584
"BW31 WS1",1.585878058,0.939522905,-0.022067179,1.161229899,-0.505963616,0.202645319,-0.007024262,0.2830257,-0.529659138,-0.397026303,-0.560815118,0.215433611,0.052064657,-0.589480311,-0.589468496,-1.210393324
"BW41 WS1",1.587411238,0.942780432,-0.027224172,0.471826043,-0.632187412,0.211161189,0.387546923,0.612621415,-0.454503709,-0.47270938,0.230304055,-0.92748484,-0.936162582,0.764269357,0.764280669,0.338995312
"O11 WS1",0.102257916,-0.49070449,-0.824839211,-0.42439897,0.866720158,-0.811626751,-0.264850481,0.061418824,-0.567360643,-0.156202749,-0.165255531,0.011734434,0.193239977,-1.091567214,-1.091555212,-0.897927119
"O21 WS1",0.117465395,-0.47260071,-0.961327646,-1.04486244,0.560870192,-0.818829898,-0.121923721,0.102853286,-0.397572695,-0.879370772,-1.747493869,1.143430595,0.757941256,-0.732852112,-0.732840243,-1.219637886
"O31 WS1",0.098445686,-0.46106964,-0.788052655,-0.700160512,0.98202074,-0.846935635,0.726342415,1.125570911,-0.810489531,0.68524171,1.416982798,-0.963869894,-0.936162582,-0.779690708,-0.779678822,-0.661266325
"O41 WS1",0.118894981,-0.469285528,-0.880878544,0.05818373,0.903130869,-0.849258144,1.75213796,1.838723532,-0.352268054,1.718315718,1.782114722,-0.081902994,0.052064657,-0.655739789,-0.655727949,-0.365440333
"K11 WS1",1.255871612,0.103116769,-0.243130312,-1.113802826,0.858224325,-0.706348049,1.101415139,1.302487513,-0.489618389,0.904722631,1.02142322,-0.152697434,-0.371461303,-0.908211246,-0.908199312,-0.696395662
"K21 WS1",1.257964194,0.114028044,-0.243817911,-0.769100898,1.120381439,-0.683375396,1.361002689,1.751968573,-0.865621722,0.701324359,1.02142322,-0.421126305,-1.077337902,-0.656310991,-0.656299151,-0.896078207
