"","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensen","Beta.sorensen.turn","Beta.sorensen.nest","Taxa","Dominance","Simpson","Shannon","Evenness","Brillouin","Menhinick","Margalef","Equitability","Fisher_alpha","Chao.1","SFI_1","SFI_2","SFI_3","SFI_4","pora_roku_1","pora_roku_2","pora_roku_3","pora.roku","SFI"
"bw11",-1.238578406,-0.271269135,0.846915384,-0.739731345,-1.384061282,0.422972941,0.427225172,0.171031716,-0.020597971,0.246272049,-0.32682055,1.355612061,-0.274948906,0.274956092,0.603365483,-0.195490115,0.55240547,1.400791462,1.370762522,0.29265872,1.454860501,0.808523401,1,0,0,0,0,0,1,3,1
"bw21",-1.239797013,-0.273012853,2.084714791,-0.775866739,-1.385175965,0.120493009,0.208229452,-0.204302339,-0.257339882,-0.399463648,0.127037896,1.237304099,0.207356194,-0.207351711,-0.006836445,-0.928078016,-0.058036959,1.251265583,1.242304824,-0.335016313,1.292932791,1.239941613,1,0,0,0,0,0,1,3,1
"bw31",-1.238445687,-0.271559755,1.824125442,-0.796848581,-1.366119854,0.05435854,0.139825069,-0.226350588,-0.586243853,-0.454956564,-0.261725795,1.000688176,-0.153017841,0.153024344,0.357958186,-0.375393638,0.322837377,1.037657185,1.013068157,0.114740297,1.037446849,1.103850461,1,0,0,0,0,0,1,3,1
"bw41",-1.241172471,-0.267200462,1.17265207,-0.675620162,-1.373304945,-0.025340279,-0.925881976,2.622453033,-0.266096929,-1.262126197,1.15968479,-0.537315326,1.131322706,-1.131323401,-1.031577726,-1.194473616,-1.04587542,-0.531177828,-0.535521339,-1.057272515,-0.584349127,-0.629228708,0,0,1,0,0,0,1,3,3
"o11",1.417538705,1.280639283,-0.977210058,1.626554143,0.390528391,0.526792524,0.449041367,0.455865571,0.823430738,0.075484483,1.050132981,1.118996137,-0.629361867,0.629371039,0.654768363,0.013820713,0.632406472,1.144461384,1.127331635,0.407082093,1.166989016,1.079779916,0,0,1,0,0,0,1,3,3
"o21",1.432692869,1.16526332,-0.260589349,1.332808359,0.384450883,0.314339302,0.024831381,0.982951043,0.452421834,-1.274972389,2.171353252,1.592227984,-0.289038718,0.289045982,0.366248973,-0.628815426,0.317619921,1.638134126,1.607806011,-0.010926991,1.735535198,2.073152752,1,0,0,0,0,0,1,3,1
"o31",1.442345202,1.311735575,0.065147337,1.737291642,0.360737243,0.508989539,0.319435801,0.775086492,0.51998034,-0.439434073,1.253075744,-0.537315326,-0.333475817,0.333483331,-0.134514566,-0.107268196,-0.106733221,-0.528804401,-0.534811628,0.041324144,-0.58254993,-0.271873709,0,1,0,0,0,0,1,3,2
"o41",1.435467915,1.233268295,0.781768047,1.66152388,0.358777673,1.861853768,1.4214496,2.095456871,1.898595359,-0.548091521,3.295899894,-1.365471058,-0.215880079,0.215886934,-0.399819752,0.324327273,-0.353692836,-1.347636594,-1.360205571,0.126645619,-1.323099324,-1.405966647,0,0,1,0,0,0,1,3,3
"k11",-0.538313665,-0.084691382,-0.325736686,1.618394538,-0.599175292,-0.524966421,-0.441459808,-0.471904101,-0.7800135,-0.39089548,-0.607941713,0.645764291,-0.830412644,0.830422943,0.835507521,0.663376219,0.83414813,0.674522908,0.655373791,0.741092516,0.636945646,0.357663596,1,0,0,0,0,0,1,3,1
"k21",-0.547447185,-0.084110143,0,1.87017664,-0.618557997,-0.606960319,-0.546430571,-0.440278334,-0.795699422,-0.156004851,-0.914168262,0.054224482,-0.216421995,0.216428853,0.076071426,-0.232681709,0.07413861,0.076419393,0.061345648,0.071087449,0.006866934,-0.190404175,1,0,0,0,0,0,1,3,1
